Variable Name,Variable Description
OSQ090b,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?"
OSQ090c,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?"
OSQ090d,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?"
OSQ090e,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?"
OSQ090f,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?"
OSQ090g,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?"
OSQ090h,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?"
OSQ100a,Please look at this card and tell me where the fracture occurred.
OSQ100b,Please look at this card and tell me where the fracture occurred.
OSQ100c,Please look at this card and tell me where the fracture occurred.
OSQ100d,Please look at this card and tell me where the fracture occurred.
OSQ100e,Please look at this card and tell me where the fracture occurred.
OSQ100g,Please look at this card and tell me where the fracture occurred.
OSQ120a,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?
OSQ120b,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?
OSQ120c,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?
OSQ120d,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?
OSQ120e,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?
OSQ120f,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?
OSQ120g,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?
OSQ120h,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?
OSQ130,{Have you/has SP} ever taken any prednisone or cortisone pills nearly every day for a month or longer?  [Prednisone and cortisone are types of steroids.]
OSQ140q,Please think about {your/SP's} use of prednisone or cortisone during {your/his/her} lifetime.  For how long did {you/s/he} use prednisone or cortisone nearly every day?  Do not count the months or years when {you were/s/he was} not taking the medicine.
OSQ140u,"How long used prednisone or cortisone: month, year?"
OSQ150,"Including living and deceased, were either of {your/SP's} biological parents ever told by a health professional that they had osteoporosis or brittle bones?"
OSQ160a,Mother was told had osteoporosis?
OSQ160b,Father was told had osteoporosis?
OSQ170,Did {your/SP's} biological mother ever fracture her hip?
OSQ180,About how old was your mother when she fractured her hip (the first time)?
OSQ190,Was she. . .
OSQ200,Did {your/SP's} biological father ever fracture his hip?
OSQ210,About how old was your father when he fractured his hip (the first time)?
OSQ220,Was he . . .
SEQN,Respondent sequence number.
IMQ011,"Hepatitis (Hep-a-ti-tis) A vaccine is given as a two dose series to some children older than 2 years and also to some adults, especially people who travel outside the United States.  It has only been available since 1995.  {Have you/Has SP} ever received hepatitis A vaccine?"
IMQ020,"Hepatitis (Hep-a-ti-tis) B vaccine is given in three separate doses and has been recommended for all newborn infants since 1991.  In 1995, it was recommended that adolescents be given the vaccine.  Persons who may be exposed to other people's blood, such as health care workers, also may have received the vaccine.  {Have you/Has SP} ever received the 3-dose series of the hepatitis B vaccine?"
IMQ040,Human Papillomavirus (HPV) vaccine is given to prevent cervical cancer in girls and women.  There are two HPV vaccines available called Cervarix and Gardasil.  It is given in 3 separate doses over a 6 month period.  {Have you/Has SP} ever received one or more doses of the HPV vaccine?
IMQ045,How many doses of {Cervarix/Gardasil/the vaccine} {have you/has SP} received?
IMQ070,Human Papillomavirus (HPV) vaccine is given to prevent HPV infection and genital warts in boys and men.  It is given in 3 separate doses over a 6 month period.  {Have you/Has SP} ever received one or more doses of the HPV vaccine? (The brand name for the vaccine is Gardasil.)
IMQ080,"Which of the HPV vaccines did {you/SP} receive, Cervarix or Gardasil?"
IMQ090,How old {were you/was SP} when {you/SP} received your first dose of {Cervarix/Gardasil/the vaccine}?
SEQN,Respondent sequence number.
SEQN,Respondent sequence number.
SXD021,"Ever had vaginal, anal, or oral sex."
SXD031,How old were you when you had sex for the first time?
SXD101,"In your lifetime, with how many men have you had any kind of sex?"
SXD171,"In your lifetime, with how many women have you had any kind of sex?"
SXD450,"In the past 12 months, with how many men have you had any kind of sex?"
SXD510,"In the past 12 months, with how many women have you had any kind of sex?"
SXD621,How old were you when you first performed oral sex on a man? Performing oral sex means your mouth on a man's penis or genitals.
SXD630,How long has it been since the last time you performed oral sex on a new male partner? A new sexual partner is someone that you had never had sex with before.
SXD633,How old were you when you first performed oral sex on a woman? Performing oral sex means your mouth on a woman's vagina or genitals.
SXD642,How long has it been since the last time you performed oral sex on a new female partner? A new sexual partner is someone that you had never had sex with before.
SXQ130,"In your lifetime with how many women have you had sex? By sex, we mean sexual contact with another woman's vagina or genitals."
SXQ251,"In the past 12 months, about how often have you had {vaginal or anal/vaginal/anal} sex without using a condom?"
SXQ260,Has a doctor or other health care professional ever told you that you had genital herpes?
SXQ265,Has a doctor or other health care professional ever told you that you had genital warts?
SXQ267,How old were you when you were first told that you had genital warts?
SXQ270,"In the past 12 months, has a doctor or other health care professional told you that you had gonorrhea, sometimes called GC or clap?"
SXQ272,"In the past 12 months, has a doctor or other health care professional told you that you had chlamydia?"
SXQ280,Are you circumcised or uncircumcised?
SXQ292,Do you think of yourself as...
SXQ294,Do you think of yourself as...
SXQ410,"In your lifetime, with how many men have you had anal or oral sex?"
SXQ490,"In the past 12 months, with how many women have you had sex? By sex, we mean sexual contact with another woman's vagina or genitals."
SXQ550,"In the past 12 months, with how many men have you had anal or oral sex?"
SXQ590,"Of the persons you had any kind of sex with in the past 12 months, how many were five or more years older than you?"
SXQ600,"Of the persons you had any kind of sex with in the past 12 months, how many were five or more years younger than you?"
SXQ610,"In the past 12 months, about how many times have you had {vaginal or anal/vaginal/anal} sex?"
SXQ624,"In your lifetime, on how many men have you performed oral sex?"
SXQ627,"In the past 12 months, on how many men have you performed oral sex?"
SXQ636,"In your lifetime, on how many women have you performed oral sex?"
SXQ639,"In the past 12 months, on how many women have you performed oral sex?"
SXQ645,"When you performed oral sex in the past 12 months, how often would you use protection, like a condom or dental dam?"
SXQ648,"In the past 12 months, did you have any kind of sex with a person that you never had sex with before?"
SXQ700,"Have you ever had vaginal sex, also called sexual intercourse, with a man? This means a man's penis in your vagina."
SXQ703,Have you ever performed oral sex on a man? This means putting your mouth on a man's penis or genitals.
SXQ706,Have you ever had anal sex? This means contact between a man's penis and your anus or butt.
SXQ709,"Have you ever had any kind of sex with a woman? By sex, we mean sexual contact with another woman's vagina or genitals."
SXQ724,"In your lifetime, with how many men have you had vaginal sex?  Vaginal sex means a man's penis in your vagina."
SXQ727,"In the past 12 months, with how many men have you had vaginal sex? Vaginal sex means a man's penis in your vagina."
SXQ741,Have you ever performed oral sex on a woman? Performing oral sex means your mouth on a woman's vagina or genitals.
SXQ753,Has a doctor or other health care professional ever told you that you had human papillomavirus or HPV?
SXQ800,"Have you ever had vaginal sex, also called sexual intercourse, with a woman? This means your penis in a woman's vagina."
SXQ803,Have you ever performed oral sex on a woman? This means putting your mouth on a woman's vagina or genitals.
SXQ806,Have you ever had anal sex with a woman? Anal sex means contact between your penis and a woman's anus or butt.
SXQ809,"Have you ever had any kind of sex with a man, including oral or anal?"
SXQ824,"In your lifetime, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina."
SXQ827,"In the past 12 months, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina."
SXQ836,"In your lifetime, with how many men have you had anal sex?"
SXQ841,"In the past 12 months, with how many men have you had anal sex?"
SXQ853,Have you ever performed oral sex on a man? Performing oral sex means your mouth on a man's penis or genitals.
SEQN,Respondent sequence number.
SXD021,"Ever had vaginal, anal, or oral sex."
SXD031,How old were you when you had sex for the first time?
SXD101,"In your lifetime, with how many men have you had any kind of sex?"
SXD171,"In your lifetime, with how many women have you had any kind of sex?"
SXD450,"In the past 12 months, with how many men have you had any kind of sex?"
SXD510,"In the past 12 months, with how many women have you had any kind of sex?"
SXD621,How old were you when you first performed oral sex on a man? Performing oral sex means your mouth on a man's penis or genitals.
SXD630,How long has it been since the last time you performed oral sex on a new male partner? A new sexual partner is someone that you had never had sex with before.
SXD633,How old were you when you first performed oral sex on a woman? Performing oral sex means your mouth on a woman's vagina or genitals.
SXD642,How long has it been since the last time you performed oral sex on a new female partner? A new sexual partner is someone that you had never had sex with before.
SXQ130,"In your lifetime with how many women have you had sex? By sex, we mean sexual contact with another woman's vagina or genitals."
SXQ251,"In the past 12 months, about how often have you had {vaginal or anal/vaginal/anal} sex without using a condom?"
SXQ260,Has a doctor or other health care professional ever told you that you had genital herpes?
SXQ265,Has a doctor or other health care professional ever told you that you had genital warts?
SXQ267,How old were you when you were first told that you had genital warts?
SXQ270,"In the past 12 months, has a doctor or other health care professional told you that you had gonorrhea, sometimes called GC or clap?"
SXQ272,"In the past 12 months, has a doctor or other health care professional told you that you had chlamydia?"
SXQ280,Are you circumcised or uncircumcised?
SXQ410,"In your lifetime, with how many men have you had anal or oral sex?"
SXQ490,"In the past 12 months, with how many women have you had sex? By sex, we mean sexual contact with another woman's vagina or genitals."
SXQ550,"In the past 12 months, with how many men have you had anal or oral sex?"
SXQ590,"Of the persons you had any kind of sex with in the past 12 months, how many were five or more years older than you?"
SXQ600,"Of the persons you had any kind of sex with in the past 12 months, how many were five or more years younger than you?"
SXQ610,"In the past 12 months, about how many times have you had {vaginal or anal/vaginal/anal} sex?"
SXQ624,"In your lifetime, on how many men have you performed oral sex?"
SXQ627,"In the past 12 months, on how many men have you performed oral sex?"
SXQ636,"In your lifetime, on how many women have you performed oral sex?"
SXQ639,"In the past 12 months, on how many women have you performed oral sex?"
SXQ645,"When you performed oral sex in the past 12 months, how often would you use protection, like a condom or dental dam?"
SXQ648,"In the past 12 months, did you have any kind of sex with a person that you never had sex with before?"
SXQ700,"Have you ever had vaginal sex, also called sexual intercourse, with a man? This means a man's penis in your vagina."
SXQ703,Have you ever performed oral sex on a man? This means putting your mouth on a man's penis or genitals.
SXQ706,Have you ever had anal sex? This means contact between a man's penis and your anus or butt.
SXQ709,"Have you ever had any kind of sex with a woman? By sex, we mean sexual contact with another woman's vagina or genitals."
SXQ724,"In your lifetime, with how many men have you had vaginal sex?  Vaginal sex means a man's penis in your vagina."
SXQ727,"In the past 12 months, with how many men have you had vaginal sex? Vaginal sex means a man's penis in your vagina."
SXQ741,Have you ever performed oral sex on a woman? Performing oral sex means your mouth on a woman's vagina or genitals.
SXQ753,Has a doctor or other health care professional ever told you that you had human papillomavirus or HPV?
SXQ800,"Have you ever had vaginal sex, also called sexual intercourse, with a woman? This means your penis in a woman's vagina."
SXQ803,Have you ever performed oral sex on a woman? This means putting your mouth on a woman's vagina or genitals.
SXQ806,Have you ever had anal sex with a woman? Anal sex means contact between your penis and a woman's anus or butt.
SXQ809,"Have you ever had any kind of sex with a man, including oral or anal?"
SXQ824,"In your lifetime, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina."
SXQ827,"In the past 12 months, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina."
SXQ836,"In your lifetime, with how many men have you had anal sex?"
SXQ841,"In the past 12 months, with how many men have you had anal sex?"
SXQ853,Have you ever performed oral sex on a man? Performing oral sex means your mouth on a man's penis or genitals.
CDQ001,{Have you/Has SP} ever had any pain or discomfort in {your/her/his} chest?
CDQ002,{Do you/Does she/Does he} get it when {you/she/he} walk uphill or hurry?
CDQ003,{Do you/Does she/Does he} get it when {you/she/he} walk at an ordinary pace on level ground?
CDQ004,What {do you/does she/does he} do if {you/she/he} get it while {you/she/he} are walking?  {Do you/Does she/Does he} stop or slow down or continue at the same pace?
CDQ005,"If {you/she/he} stand still, what happens to it?  Is the pain or discomfort relieved or not relieved?"
CDQ006,How soon is the pain relieved?  Would you say...
CDQ008,Have {you/she/he} ever had a severe pain across the front of {your/her/his} chest lasting for half an hour or more?
CDQ009A,Please look at this card and show me where the pain or discomfort is located.
CDQ009B,Please look at this card and show me where the pain or discomfort is located.
CDQ009C,Please look at this card and show me where the pain or discomfort is located.
CDQ009D,Please look at this card and show me where the pain or discomfort is located.
CDQ009E,Please look at this card and show me where the pain or discomfort is located.
CDQ009F,Please look at this card and show me where the pain or discomfort is located.
CDQ009G,Please look at this card and show me where the pain or discomfort is located.
CDQ009H,Please look at this card and show me where the pain or discomfort is located.
CDQ010,{Have you/Has SP} had shortness of breath either when hurrying on the level or walking up a slight hill?
SEQN,Respondent sequence number.
BPD035,How old {were you/was SP} when {you were/he/she was} first told that {you/he/she} had hypertension or high blood pressure?
BPD058,How often {did you check your/did SP check his/her} blood pressure at home during the last 12 months?
BPQ020,"{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had hypertension, also called high blood pressure?"
BPQ030,"{Were you/Was SP} told on 2 or more different visits that {you/s/he} had hypertension, also called high blood pressure?"
BPQ040A,"Because of {your/SP's} (high blood pressure/hypertension), {have you/has s/he} ever been told to . . . take prescribed medicine?"
BPQ050A,HELP AVAILABLE (Are you/Is SP) now taking prescribed medicine
BPQ056,{Did you/Did SP} take {your/his/her} blood pressure at home during the last 12 months?
BPQ059,Did a doctor or other health professional tell {you/SP} to take {your/his/her} blood pressure at home?
BPQ060,{Have you/Has SP} ever had {your/his/her} blood cholesterol checked?
BPQ070,About how long has it been since {you/SP} last had {your/his/her} blood cholesterol checked?  Has it been...
BPQ080,{Have you/Has SP} ever been told by a doctor or other health professional that {your/his/her} blood cholesterol level was high?
BPQ090D,"[To lower (your/his/her) blood cholesterol, (have/has) (you/SP) ever been told by a doctor or other health professional]... to take prescribed medicine?"
BPQ100D,(Are you/Is SP) now following this advice to take prescribed medicine?
SEQN,Respondent sequence number.
AGQ030,"During the past 12 months, {have you/has SP} had an episode of hay fever?"
MCD093,In what year did {you/SP} receive {your/his/her} first transfusion?
MCQ010,The following questions are about different medical conditions. Has a doctor or other health professional ever told {you/SP} that {you have/s/he/SP has} asthma (az-ma)?
MCQ025,How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had asthma (az-ma)?
MCQ035,{Do you/Does SP} still have asthma (az-ma)?
MCQ040,"During the past 12 months, {have you/has SP} had an episode of asthma (az-ma) or an asthma attack?"
MCQ050,"[During the past 12 months], {have you/has SP} had to visit an emergency room or urgent care center because of asthma (az-ma)?"
MCQ053,"During the past 3 months, {have you/has SP} been on treatment for anemia (a-nee-me-a), sometimes called ""tired blood"" or ""low blood""?  [Include diet, iron pills, iron shots, transfusions as treatment.]"
MCQ070,{Have you/Has SP} ever been told by a doctor or other health care professional that {you/s/he} had psoriasis (sore-eye-asis)?
MCQ075,{Do you/Does SP} currently have . . .
MCQ080,Has a doctor or other health professional ever told {you/SP} that {you were/s/he/SP was} overweight?
MCQ082,"Has a doctor or other health professional ever told {you/SP} that {you have/s/he/SP has} celiac (sele-ak) disease, also called or sprue (sproo)?"
MCQ084,"The next question asks about difficulties in thinking or remembering that can make a big difference in everyday activities. This does not refer to occasionally forgetting your keys or the name of someone you recently met. This refers to things like confusion or memory loss that are happening more often or getting worse. We want to know how these difficulties impact {you/SP}. During the past 12 months, {have you/has she/has he} experienced confusion or memory loss that is happening more often or is getting worse?"
MCQ086,{Are you/is SP} on a gluten-free diet?
MCQ092,{Have you/Has SP} ever received a blood transfusion?
MCQ149,Have {SP's} periods or menstrual (men-stral) cycles started yet?
MCQ151,How old was {SP} when she had {her} first menstrual period?
MCQ160a,Has a doctor or other health professional ever told {you/SP} that {you/s/he} . . .had arthritis (ar-thry-tis)?
MCQ160b,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had congestive heart failure?
MCQ160c,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had coronary (kor-o-nare-ee) heart disease?
MCQ160d,"Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had angina (an-gi-na), also called angina pectoris?"
MCQ160e,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had a heart attack (also called myocardial infarction (my-o-car-dee-al in-fark-shun))?
MCQ160f,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had a stroke?
MCQ160g,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had emphysema (emph-phi-see-ma)?
MCQ160k,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had chronic bronchitis?
MCQ160l,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had any kind of liver condition?
MCQ160m,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had another thyroid (thigh-roid) problem?
MCQ160n,Has a doctor or other health professional ever told {you/SP} that {you/s/he} . . .had gout?
MCQ160o,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had COPD?
MCQ170k,{Do you/Does SP} still . . . have chronic bronchitis?
MCQ170l,{Do you/Does SP} still . . . have any kind of liver condition?
MCQ170m,{Do you/Does SP} still . . . have another thyroid problem?
MCQ180a,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . . had arthritis?
MCQ180b,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had congestive heart failure?
MCQ180c,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had coronary heart disease?
MCQ180d,"How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had angina, also called angina pectoris?"
MCQ180e,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had a heart attack (also called myocardial infarction)?
MCQ180f,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had a stroke?
MCQ180g,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had emphysema?
MCQ180k,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had chronic bronchitis?
MCQ180l,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had any kind of liver condition?
MCQ180m,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had another thyroid problem?
MCQ180n,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had gout?
MCQ195,Which type of arthritis was it?
MCQ203,"Has anyone ever told {you/SP} that {you/she/he/SP} had yellow skin, yellow eyes or jaundice? Please do not include infant jaundice, which is common during the first weeks after birth."
MCQ206,"How old {were you/was SP} when {you were/s/he was} first told {you/s/he} had yellow skin, yellow eyes or jaundice?"
MCQ220,{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had cancer or a malignancy (ma-lig-nan-see) of any kind?
MCQ230a,What kind of cancer was it?
MCQ230b,What kind of cancer was it?
MCQ230c,What kind of cancer was it?
MCQ230d,What kind of cancer was it?
MCQ240a,How old (were you/was SP) when bladder cancer was first diagnosed?
MCQ240aa,How old (were you/was SP) when testicular cancer was first diagnosed?
MCQ240b,How old {were you/was SP} when blood cancer was first diagnosed?
MCQ240bb,How old (were you/was SP) when thyroid cancer was first diagnosed?
MCQ240c,How old (were you/was SP) when bone cancer was first diagnosed?
MCQ240cc,How old (were you/was SP) when uterine cancer was first diagnosed?
MCQ240d,How old (were you/was SP) when brain cancer was  first diagnosed?
MCQ240dd,How old (were you/was SP) when some other type of cancer was first diagnosed?
MCQ240dk,How old {were you/was SP} when cancer was first diagnosed?
MCQ240e,How old (were you/was SP) when breast cancer was first diagnosed?
MCQ240f,How old (were you/was SP) when cervical cancer was first diagnosed?
MCQ240g,How old (were you/was SP) when colon cancer was first diagnosed?
MCQ240h,How old (were you/was SP) when esophageal cancer was first diagnosed?
MCQ240i,How old (were you/was SP) when gallbladder cancer was first diagnosed?
MCQ240j,How old (were you/was SP) when kidney cancer was first diagnosed?
MCQ240k,How old (were you/was SP) when larynx or windpipe cancer was first diagnosed?
MCQ240l,How old (were you/was SP) when leukemia was first diagnosed?
MCQ240m,How old (were you/was SP) when liver cancer was first diagnosed?
MCQ240n,How old (were you/was SP) when lung cancer was first diagnosed?
MCQ240o,How old (were you/was SP) when lymphoma or Hodgkins' Disease was first diagnosed?
MCQ240p,How old (were you/was SP) when melanoma was first diagnosed?
MCQ240q,"How old (were you/was SP) when mouth, tongue, or lip cancer was first diagnosed?"
MCQ240r,How old (were you/was SP) when cancer of the nervous system was first diagnosed?
MCQ240s,How old (were you/was SP) when ovarian cancer was first diagnosed?
MCQ240t,How old (were you/was SP) when pancreatic cancer was first diagnosed?
MCQ240u,How old (were you/was SP) when prostate cancer was first diagnosed?
MCQ240v,How old (were you/was SP) when rectal cancer was first diagnosed?
MCQ240w,How old (were you/was SP) when non-melanoma skin cancer was first diagnosed?
MCQ240x,How old (were you/was SP) when the unknown kind of skin cancer was first diagnosed?
MCQ240y,How old (were you/was SP) when soft tissue (muscle or fat) cancer was first diagnosed?
MCQ240z,How old (were you/was SP) when stomach cancer was first diagnosed?
MCQ300a,"Including living and deceased, were any of {SP's/your} close biological that is, blood relatives including father, mother, sisters or brothers, ever told by a health professional that they had a heart attack or angina (an-gi-na) before the age of 50?"
MCQ300b,"Including living and deceased, were any of {SP's/your} close biological that is, blood relatives including father, mother, sisters or brothers, ever told by a health professional that they had asthma (az-ma)?"
MCQ300c,"Including living and deceased, were any of {SP's/your} close biological that is, blood relatives including father, mother, sisters or brothers, ever told by a health professional that they had diabetes?"
MCQ365a,"To lower {your/SP's} risk for certain diseases, during the past 12 months {have you/has s/he} ever been told by a doctor or health professional to: control {your/his/her} weight or lose weight?"
